エラー,14.586,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,20,,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19,72,76,0,0,#DIV/0!,,
,21,,,,,,,,2,0.0,0.0,0.0,6.5,77.6,0.0,0.0,0.0,,20,76,80,0,0,#DIV/0!,,
,22,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,,,,,,,#DIV/0!,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,,,,,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,,,,,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,,,,,,,,5,5,5,5,5,4,5,5,5,,,,,,,,,
,27,,,,,,,,4,5,5,5,5,5,5,5,5,,,,,,,,,
,28,,,,,,,,3,5,5,5,5,5,5,5,5,,,,,,,,,
,29,,,,,,,,2,5,5,5,3,1,5,5,5,,,,,,,,,
,30,,,,,,,,1,5,5,5,5,5,2,5,5,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［s］,23.628,,,,,,,目視個所Ｔｏｐ　No.1,2.5,1,,5.1,5,,,,,,,,,,,,
,,,,,最少移動距離,#NUM!,,,目視個所Ｔｏｐ　No.2,1.6,2,,4.1,5,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,8.55,最大移動距離,0.00,,,目視個所Ｔｏｐ　No.3,2.4,3,,3.1,5,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,2.92,平均移動距離,#DIV/0!,,,目視個所Ｔｏｐ　No.4,5.5,4,,2.1,5,,,,,,,,,,,,
,,,,,距離標準偏差,#DIV/0!,,,目視個所Ｔｏｐ　No.5,5.1,5,,1.1,5,,,,,,,,,,,,
,,,,,,,,,目視個所（累積ではない）,4,,,5.2,5,,,,,,,,,,,,
,原本再生時間,23.53,秒,,9.9のカウント数,4,,,非目視個所,36,,,4.2,5,,,,,,,,,,,,
,観察時間,23.628,秒,,9.9の秒数,14.586,,,合計,40,,,3.2,5,,,,,,,,,,,,
,観察割合,1.004,,,0のカウント数,2,,,,,,,2.2,5,,,,,,,,,,,,
,,,,,0の秒数,0.957,,,,,,,1.2,5,,,,,,,,,,,,
,総ロスト時間［秒］,15.543,,原本再生に占める9.9の割合,,0.620,,,,,,,5.3,5,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.661,,観察時間に占める9.9の割合,,0.617,,,,,,,4.3,5,,,,,1,2,3,4,5,6,7,8
,観察時間に占めるロスト割合,0.658,,原本再生に占める0の割合,,0.040671483,,,,,,,3.3,5,,,,5,5,5,5,5,4,5,5,5
,,,,観察時間に占める0の割合,,0.040502793,,,,,,,2.3,5,,,,4,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,1.3,5,,,,3,5,5,5,5,5,5,5,5
,,,,チェックデジット,8.085,,,,,,,,5.4,5,,,,2,5,5,5,3,1,5,5,5
,,,,OK,8.085,,,,,,,,4.4,5,,,,1,5,5,5,5,5,2,5,5
,,,,,8.085,,,,,,,,3.4,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,3,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,5,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,4,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,5,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,1,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,5,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,5,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,5,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,5,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,2,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,5,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,5,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,5,,,,,,,,,,,,
終了時刻,,,,,,,,,,,,,1.7,5,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,5,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,5,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,5,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,5,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
